CountyCode	CountyName	ElectionNumber	ElectionDate	ElectionName	Precinct	PollingLocation	ReVoters	RegDem	RegRep	RegOth	ContestName	DistrictName	ContestID	CanName	CanParty	VoterID	CanAcct	CanVotes
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	1	Indian River Estates	45	9	32	4	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	2	Fellsmere City Council Chambers	1398	628	259	511	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	3	Fellsmere City Council Chambers	1127	265	574	288	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	4	Indian River Estates	32	6	21	5	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	5	Liberty Magnet School	4494	1311	1780	1403	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	6	St. Sebastian Catholic Church	1563	441	701	421	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	7	St. Sebastian Catholic Church	1940	461	897	582	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	8	American Legion Hall Post 189	4383	1283	1761	1339	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	Tony Young	NOP		6	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	WriteinVotes			900	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	OverVotes			901	0
IND	Indian River	10282	11/8/2016	2016 General Election	9	Sebastian Elks Lodge No. 2714	5976	1671	2590	1715	City of Vero Beach		730030	UnderVotes			902	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Lange Sykes	NOP		1	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Randolph Bruce Old	NOP		2	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Norman Wells	NOP		3	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Laura Moss	NOP		4	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Sharon Shelton Gorry	NOP		5	0
IND	Indian River	10282	11/8/2016	2016 General Election	10	Sebastian Christian Church	6173	1761	2537	1875	City of Vero Beach		730030	Tony Young	NOP		6	0
